Model,Rating,Title,Review
OnePlus 7T,5,Once A OnePlus user always a OnePlus lover❤️,Awesome
OnePlus 7T,5,Good Work Team OnePlus !,Any Condition OnePlus Settle it!
OnePlus 7T,5,Awesome,"Awesome product, great performance"
OnePlus 7T,4,No earphones,Performance is great but no earphones is the only drawback
OnePlus 7T,5,1+ the best,Awesome overall.
OnePlus 7T,4,Lovely,Good
OnePlus 7T,5,best one plus product,best from one plus
OnePlus 7T,4,Finally better,Some times whatsapp fingerprint reader make problem .require camera quality improvement
OnePlus 7T,5,Excellent phone,Excellent phone...must buy👌🏼👍
OnePlus 7T,5,Nice,One plus 7T is just awesome mobile it works really really fast and smooth like a butter
OnePlus 7T,5,"OnePlus is best in all it's class, superlatives..",Best phone
OnePlus 7T,5,Premium,Smartphone of the year 2019
OnePlus 7T,5,Excellent,Good in quality and Worth 👍
OnePlus 7T,4,Happy Costumer,Phone is at its Best..
OnePlus 7T,5,Never settle,It's awesome. Everything about it is...
OnePlus 7T,5,Amazing,Mobile performance and camera are amazing but battery backup disappointing
OnePlus 7T,5,Good oneplus 7T thanks,Nice product thank you 😊
OnePlus 7T,1,Dont purchase and use One plus mobile - Files get Corrupt,"I have bought One plus 7T mobile 3 months before. While I was working in offline suddenly the mobile got switched off and showing that the device got corrupt. I have visited nearby oneplus service center in Coimbatore. They told that the data got erased and need to install the software for further use. But after attempting to install the software, the hardware didnt accept the installation. They said to change the motherboard worth Rs.21000/- See the worth of the mobile is Rs.38000/-. What is the use in using this repaired mobile. Very worst experience I faced using the One plus mobile. Dont purchase Oneplus mobile. Very poor technical service in One plus."
OnePlus 7T,5,BATTERY IS GOOD,ALL OVER VERY GOOD. ALL FEATURES VERY GOOD.
OnePlus 7T,4,Overat Good,Sometimes it doesn't work....
OnePlus 7T,4,On the whole it is good,The camera quality is very good
OnePlus 7T,5,Good,Good
OnePlus 7T,5,Best phone to buy,Awesome phone
OnePlus 7T,4,Good,Awesome 👌
OnePlus 7T,5,Best phone ever,Best phone ever
